Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

07:50:04  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:50:09  IST  all    0.05    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.90
07:50:14  IST  all    0.10    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.80
07:50:19  IST  all   10.71    0.00    2.15    0.00    0.00    0.10    0.00    0.00    0.00   87.04
07:50:24  IST  all   99.70    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:29  IST  all   90.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    9.40
07:50:34  IST  all   13.80    0.00    0.50    0.00    0.00    0.15    0.00    0.00    0.00   85.55
07:50:39  IST  all   97.60    0.00    2.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:50:44  IST  all   99.70    0.00    0.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:50:49  IST  all   23.76    0.00    1.10    0.00    0.00    0.30    0.00    0.00    0.00   74.84
07:50:54  IST  all   98.00    0.00    1.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:50:59  IST  all   99.70    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:04  IST  all   39.70    0.00    1.19    0.05    0.00    0.50    0.00    0.00    0.00   58.56
07:51:09  IST  all   97.50    0.00    2.40    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:51:14  IST  all   99.55    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:19  IST  all   46.44    0.00    0.90    0.00    0.00    0.55    0.00    0.00    0.00   52.12
07:51:24  IST  all   98.20    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:29  IST  all   99.40    0.00    0.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:51:34  IST  all   40.32    0.00    1.79    0.00    0.00    0.84    0.00    0.00    0.00   57.05
07:51:39  IST  all   98.75    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:44  IST  all   94.91    0.00    0.40    0.00    0.00    0.25    0.00    0.00    0.00    4.44
