Linux 4.15.0-117-generic (sl1-21) 	Saturday 06 February 2021 	_x86_64_	(4 CPU)

01:28:23  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:28:28  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:28:33  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
01:28:38  IST  all   78.86    0.00    3.00    0.00    0.00    0.05    0.00    0.00    0.00   18.09
01:28:43  IST  all   99.90    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:28:48  IST  all   76.38    0.00    0.15    0.05    0.00    0.00    0.00    0.00    0.00   23.42
01:28:53  IST  all   46.39    0.00    3.04    0.00    0.00    0.55    0.00    0.00    0.00   50.02
01:28:58  IST  all   99.30    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:29:03  IST  all   99.85    0.00    0.10    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:29:08  IST  all   53.56    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   44.95
01:29:13  IST  all   87.33    0.00    3.24    0.00    0.00    0.25    0.00    0.00    0.00    9.18
01:29:18  IST  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:29:23  IST  all   99.45    0.00    0.45    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:29:28  IST  all   60.32    0.00    2.88    0.00    0.00    0.70    0.00    0.00    0.00   36.10
01:29:33  IST  all   98.95    0.00    1.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:29:38  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:29:43  IST  all   68.89    0.00    1.00    0.00    0.00    0.55    0.00    0.00    0.00   29.57
01:29:48  IST  all   88.43    0.00    3.53    0.05    0.00    0.75    0.00    0.00    0.00    7.25
01:29:53  IST  all   99.45    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:29:58  IST  all   93.20    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00    6.45
01:30:03  IST  all   59.01    0.00    4.65    0.05    0.00    0.99    0.00    0.00    0.00   35.30
01:30:08  IST  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:13  IST  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:18  IST  all   73.65    0.00    0.59    0.05    0.00    1.14    0.00    0.00    0.00   24.57
01:30:23  IST  all   96.45    0.00    3.45    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:30:28  IST  all   99.65    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:33  IST  all   96.11    0.00    0.65    0.00    0.00    0.30    0.00    0.00    0.00    2.94
01:30:38  IST  all   74.60    0.00    3.32    0.05    0.00    0.89    0.00    0.00    0.00   21.13
01:30:43  IST  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:48  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:30:53  IST  all   76.51    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   22.09
01:30:58  IST  all   96.70    0.00    3.20    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:31:03  IST  all   99.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:31:08  IST  all   99.10    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00    0.05
01:31:13  IST  all   85.83    0.00    2.84    0.00    0.00    0.35    0.00    0.00    0.00   10.98
01:31:18  IST  all   99.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:31:23  IST  all   99.50    0.00    0.45    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:31:28  IST  all   83.59    0.00    1.24    0.00    0.00    0.70    0.00    0.00    0.00   14.47
01:31:33  IST  all   97.80    0.00    2.15    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:31:38  IST  all   99.70    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:31:43  IST  all   93.56    0.00    0.80    0.05    0.00    0.20    0.00    0.00    0.00    5.39
01:31:48  IST  all   96.90    0.00    3.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:31:53  IST  all   99.20    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:31:58  IST  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:32:03  IST  all   85.55    0.00    1.73    0.00    0.00    1.38    0.00    0.00    0.00   11.35
01:32:08  IST  all   97.65    0.00    2.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:32:13  IST  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:32:18  IST  all   94.91    0.00    0.95    0.00    0.00    0.25    0.00    0.00    0.00    3.90
01:32:23  IST  all   97.05    0.00    2.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:32:28  IST  all   99.35    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:32:33  IST  all   99.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:32:38  IST  all   87.43    0.00    2.29    0.00    0.00    0.55    0.00    0.00    0.00    9.74
01:32:43  IST  all   98.40    0.00    1.50    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:32:48  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:32:53  IST  all   90.41    0.00    1.14    0.00    0.00    0.45    0.00    0.00    0.00    8.00
01:32:58  IST  all   96.60    0.00    3.25    0.00    0.00    0.15    0.00    0.00    0.00    0.00
01:33:03  IST  all   99.05    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:33:08  IST  all   99.30    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:33:13  IST  all   92.86    0.00    2.70    0.00    0.00    0.20    0.00    0.00    0.00    4.24
01:33:18  IST  all   98.40    0.00    1.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:33:23  IST  all   99.65    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:33:28  IST  all   92.28    0.00    1.10    0.00    0.00    0.40    0.00    0.00    0.00    6.23
01:33:33  IST  all    0.20    0.00    0.25    0.05    0.00    0.00    0.00    0.00    0.00   99.50
01:33:38  IST  all    0.05    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.96
01:33:43  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:33:48  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
01:33:53  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
01:33:58  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:34:03  IST  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
01:34:08  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
01:34:13  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
01:34:18  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
01:34:23  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:34:28  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:34:33  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85

Average:     all   73.02    0.00    1.10    0.00    0.00    0.17    0.00    0.00    0.00   25.70
