Linux 4.15.0-117-generic (sl1-21) 	Saturday 06 February 2021 	_x86_64_	(4 CPU)

02:15:52  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:15:57  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:02  IST  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
02:16:07  IST  all   31.48    0.00    2.46    0.00    0.00    0.10    0.00    0.00    0.00   65.96
02:16:12  IST  all   98.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:16:17  IST  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:16:22  IST  all   99.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:16:27  IST  all   74.90    0.00    1.34    0.00    0.00    0.60    0.00    0.00    0.00   23.16
02:16:32  IST  all   95.80    0.00    4.05    0.00    0.00    0.15    0.00    0.00    0.00    0.00
02:16:37  IST  all   99.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:16:42  IST  all   99.55    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:16:47  IST  all   99.25    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:16:52  IST  all   96.60    0.00    3.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:16:57  IST  all   98.15    0.00    1.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:17:02  IST  all   99.70    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:07  IST  all   99.45    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:17:12  IST  all   98.55    0.00    1.40    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:17:17  IST  all   96.75    0.00    3.15    0.00    0.00    0.10    0.00    0.00    0.00    0.00
02:17:22  IST  all   99.35    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:27  IST  all   99.55    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:32  IST  all   99.15    0.00    0.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
02:17:37  IST  all   96.70    0.00    3.20    0.00    0.00    0.10    0.00    0.00    0.00    0.00
02:17:42  IST  all   98.30    0.00    1.65    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:17:47  IST  all   99.85    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:52  IST  all   99.45    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:17:57  IST  all   98.10    0.00    1.85    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:18:02  IST  all   97.30    0.00    2.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
02:18:07  IST  all   99.30    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:12  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:17  IST  all   99.15    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:18:22  IST  all   96.90    0.00    3.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00
02:18:27  IST  all   99.00    0.00    0.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
02:18:32  IST  all   99.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:18:37  IST  all   98.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
